#x [m],y [m],z [m],x [V/m],y [V/m],z [V/m]
Sample 1 time=5
0,-0.0815,-0.1265,4.00348,-1471.27,294.681
0,-0.0805,-0.1265,4.19867,-1593.62,296.404
0,-0.0795,-0.1265,4.39185,-1716.97,297.411
0,-0.0785,-0.1265,4.58297,-1841.3,297.701
0,-0.0775,-0.1265,4.77209,-1966.63,297.275
0,-0.0765,-0.1265,4.95906,-2092.96,296.132
0,-0.0755,-0.1265,5.14413,-2220.28,294.273
0,-0.0745,-0.1265,5.32714,-2348.6,291.697
0,-0.0735,-0.1265,4.43317,-2490.49,299.172
0,-0.0725,-0.1265,4.0812,-2644.99,318.451
0,-0.0715,-0.1265,5.47675,-2783.64,318.97
0,-0.0705,-0.1265,6.55819,-2924.37,319.728
0,-0.0695,-0.1265,7.32536,-3067.17,320.727
0,-0.0685,-0.1265,7.77845,-3212.06,321.964
0,-0.0675,-0.1265,7.91735,-3359.02,323.441
0,-0.0665,-0.1265,7.74214,-3508.06,325.158
0,-0.0655,-0.1265,7.25271,-3659.17,327.114
0,-0.0645,-0.1265,6.44917,-3812.37,329.309
0,-0.0635,-0.1265,5.33141,-3967.64,331.744
0,-0.0625,-0.1265,3.89956,-4124.99,334.419
0,-0.0615,-0.1265,2.15354,-4284.41,337.332
0,-0.0605,-0.1265,0.0933475,-4445.92,340.486
0,-0.0595,-0.1265,-2.28094,-4609.5,343.879
0,-0.0585,-0.1265,-4.96945,-4775.15,347.511
0,-0.0575,-0.1265,-7.97207,-4942.89,351.383
0,-0.0565,-0.1265,-11.2889,-5112.7,355.494
0,-0.0555,-0.1265,-14.9198,-5284.59,359.845
0,-0.0545,-0.1265,-19.4543,-5459.5,364.268
0,-0.0535,-0.1265,-32.5832,-5637.81,391.214
0,-0.0525,-0.1265,-42.608,-5829.94,411.966
0,-0.0515,-0.1265,-52.213,-6042.06,409.444
0,-0.0505,-0.1265,-56.8364,-6247.46,400.246
0,-0.0495,-0.1265,-54.9293,-6450.82,389.895
0,-0.0485,-0.1265,-52.8317,-6654.98,381.433
0,-0.0475,-0.1265,-50.5435,-6859.94,374.861
0,-0.0465,-0.1265,-48.0649,-7065.7,370.179
0,-0.0455,-0.1265,-45.3955,-7272.26,367.386
0,-0.0445,-0.1265,-42.5357,-7479.63,366.484
0,-0.0435,-0.1265,-39.4853,-7687.79,367.47
0,-0.0425,-0.1265,-36.2444,-7896.75,370.347
0,-0.0415,-0.1265,-32.8129,-8106.51,375.114
0,-0.0405,-0.1265,-29.1909,-8317.08,381.769
0,-0.0395,-0.1265,-25.3783,-8528.44,390.315
0,-0.0385,-0.1265,-21.3751,-8740.6,400.751
0,-0.0375,-0.1265,-17.1815,-8953.57,413.076
0,-0.0365,-0.1265,-12.7972,-9167.33,427.291
0,-0.0355,-0.1265,-8.22244,-9381.9,443.395
0,-0.0345,-0.1265,-3.45706,-9597.26,461.389
0,-0.0335,-0.1265,1.49882,-9813.43,481.274
0,-0.0325,-0.1265,5.15331,-10040.9,493.465
0,-0.0315,-0.1265,5.57106,-10291.6,484.703
0,-0.0305,-0.1265,5.67482,-10543.3,473.85
0,-0.0295,-0.1265,-6.55437,-10761.6,448.701
0,-0.0285,-0.1265,-18.2683,-10974.8,425.109
0,-0.0275,-0.1265,-29.467,-11182.9,403.075
0,-0.0265,-0.1265,-40.1503,-11385.9,382.598
0,-0.0255,-0.1265,-50.3184,-11583.8,363.678
0,-0.0245,-0.1265,-59.9712,-11776.6,346.315
0,-0.0235,-0.1265,-69.1087,-11964.3,330.51
0,-0.0225,-0.1265,-77.7309,-12146.9,316.262
0,-0.0215,-0.1265,-85.8378,-12324.3,303.572
0,-0.0205,-0.1265,-93.4295,-12496.7,292.438
0,-0.0195,-0.1265,-100.506,-12664,282.863
0,-0.0185,-0.1265,-83.3116,-12808.2,271.576
0,-0.0175,-0.1265,-63.2355,-12947.7,263.633
0,-0.0165,-0.1265,-43.3817,-13085.2,259.587
0,-0.0155,-0.1265,-23.7503,-13220.5,259.439
0,-0.0145,-0.1265,-4.34126,-13353.6,263.189
0,-0.0135,-0.1265,14.8454,-13484.6,270.836
0,-0.0125,-0.1265,33.8097,-13613.5,282.381
0,-0.0115,-0.1265,52.5516,-13740.2,297.825
0,-0.0105,-0.1265,67.511,-13869.8,298.513
0,-0.0095,-0.1265,68.0865,-14013.5,225.926
0,-0.0085,-0.1265,66.5055,-14141.2,163.79
0,-0.0075,-0.1265,45.6224,-14215.2,150.738
0,-0.0065,-0.1265,24.2679,-14282.9,136.232
0,-0.0055,-0.1265,2.44218,-14344.3,120.272
0,-0.0045,-0.1265,-19.8549,-14399.4,102.858
0,-0.0035,-0.1265,-42.6231,-14448.1,83.9892
0,-0.0025,-0.1265,-65.8627,-14490.5,63.6669
0,-0.0015,-0.1265,-89.5734,-14526.6,41.8905
0,-0.0005,-0.1265,-113.756,-14556.4,18.66
0,0.0005,-0.1265,-138.409,-14579.8,-6.02449
0,0.0015,-0.1265,-136.768,-14573.2,-21.7133
0,0.0025,-0.1265,-114.919,-14542.4,-30.7175
0,0.0035,-0.1265,-92.3098,-14505,-40.6118
0,0.0045,-0.1265,-68.9397,-14460.8,-51.3962
0,0.0055,-0.1265,-44.809,-14409.9,-63.0706
0,0.0065,-0.1265,-19.9177,-14352.2,-75.6352
0,0.0075,-0.1265,5.73436,-14287.9,-89.0898
0,0.0085,-0.1265,32.147,-14216.8,-103.435
0,0.0095,-0.1265,33.0561,-14089.7,-173.251
0,0.0105,-0.1265,29.6647,-13952.5,-248.004
0,0.0115,-0.1265,19.0894,-13811.7,-261.371
0,0.0125,-0.1265,4.69094,-13669.9,-245.336
0,0.0135,-0.1265,-10.4922,-13526.8,-233.609
0,0.0145,-0.1265,-26.46,-13382.3,-226.189
0,0.0155,-0.1265,-43.2126,-13236.5,-223.077
0,0.0165,-0.1265,-60.7497,-13089.4,-224.272
0,0.0175,-0.1265,-79.0716,-12941,-229.775
0,0.0185,-0.1265,-98.1782,-12791.2,-239.585
0,0.0195,-0.1265,-118.069,-12640.2,-253.703
0,0.0205,-0.1265,-115.1,-12469.9,-272.215
0,0.0215,-0.1265,-105.383,-12291.8,-291.255
0,0.0225,-0.1265,-95.3351,-12110.7,-310.338
0,0.0235,-0.1265,-84.9572,-11926.6,-329.466
0,0.0245,-0.1265,-74.2487,-11739.5,-348.636
0,0.0255,-0.1265,-63.2097,-11549.3,-367.85
0,0.0265,-0.1265,-51.8403,-11356.2,-387.107
0,0.0275,-0.1265,-40.1404,-11160.1,-406.408
0,0.0285,-0.1265,-28.11,-10960.9,-425.752
0,0.0295,-0.1265,-15.7491,-10758.7,-445.139
0,0.0305,-0.1265,-3.63389,-10547.5,-464.696
0,0.0315,-0.1265,6.75855,-10306.4,-483.59
0,0.0325,-0.1265,18.1843,-10061.6,-500.404
0,0.0335,-0.1265,14.685,-9844.04,-474.725
0,0.0345,-0.1265,11.3623,-9627.27,-451.385
0,0.0355,-0.1265,8.21629,-9411.26,-430.383
0,0.0365,-0.1265,5.2469,-9195.99,-411.72
0,0.0375,-0.1265,2.45423,-8981.48,-395.396
0,0.0385,-0.1265,-0.161858,-8767.71,-381.411
0,0.0395,-0.1265,-2.60127,-8554.7,-369.765
0,0.0405,-0.1265,-4.864,-8342.43,-360.458
0,0.0415,-0.1265,-6.95004,-8130.92,-353.489
0,0.0425,-0.1265,-8.85947,-7920.15,-348.86
0,0.0435,-0.1265,-10.5922,-7710.14,-346.569
0,0.0445,-0.1265,-12.1484,-7500.87,-346.618
0,0.0455,-0.1265,-13.5278,-7292.35,-349.005
0,0.0465,-0.1265,-14.7306,-7084.59,-353.73
0,0.0475,-0.1265,-15.7567,-6877.57,-360.795
0,0.0485,-0.1265,-16.6062,-6671.3,-370.199
0,0.0495,-0.1265,-17.279,-6465.79,-381.941
0,0.0505,-0.1265,-17.7751,-6261.02,-396.022
0,0.0515,-0.1265,-18.0947,-6057,-412.442
0,0.0525,-0.1265,-10.5072,-5854.17,-406.29
0,0.0535,-0.1265,0.729086,-5663.58,-385.445
0,0.0545,-0.1265,11.8658,-5475.46,-363.606
0,0.0555,-0.1265,13.3098,-5297.22,-360.207
0,0.0565,-0.1265,13.2301,-5121.72,-359.089
0,0.0575,-0.1265,13.0804,-4947.76,-357.333
0,0.0585,-0.1265,12.8609,-4775.34,-354.939
0,0.0595,-0.1265,12.5715,-4604.48,-351.907
0,0.0605,-0.1265,12.2123,-4435.15,-348.238
0,0.0615,-0.1265,11.7832,-4267.37,-343.93
0,0.0625,-0.1265,11.2842,-4101.14,-338.986
0,0.0635,-0.1265,10.7154,-3936.45,-333.403
0,0.0645,-0.1265,10.0767,-3773.31,-327.183
0,0.0655,-0.1265,9.36818,-3611.71,-320.325
0,0.0665,-0.1265,8.58978,-3451.66,-312.829
0,0.0675,-0.1265,7.74148,-3293.16,-304.695
0,0.0685,-0.1265,6.82338,-3136.2,-295.924
0,0.0695,-0.1265,5.83538,-2980.78,-286.515
0,0.0705,-0.1265,4.77751,-2826.91,-276.468
0,0.0715,-0.1265,3.64982,-2674.59,-265.783
0,0.0725,-0.1265,2.45224,-2523.81,-254.461
0,0.0735,-0.1265,1.96996,-2399.15,-254.636
0,0.0745,-0.1265,1.84436,-2285.97,-259.581
0,0.0755,-0.1265,1.72187,-2172.54,-263.607
0,0.0765,-0.1265,1.60244,-2058.87,-266.715
0,0.0775,-0.1265,1.48605,-1944.95,-268.905
0,0.0785,-0.1265,1.3728,-1830.79,-270.176
0,0.0795,-0.1265,1.26258,-1716.38,-270.53
0,0.0805,-0.1265,1.15545,-1601.73,-269.965
